Bwd IAT Tot,Bwd Pkt Len Max,Flow Duration,Flow IAT Min,Fwd Header Len,Fwd IAT Mean,Fwd IAT Min,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Std,Fwd Pkts/s,Fwd Seg Size Min,Init Bwd Win Byts,Init Fwd Win Byts,Tot Bwd Pkts,TotLen Bwd Pkts,TotLen Fwd Pkts,Label
631,488,961,30,72,268.0,150,161,0,92.9533933395,3121.7481789802,20,149,8192,4,488,161,0
41790,67,42039,249,16,41752.0,41752,51,51,0.0,47.5748709532,8,-1,-1,2,134,102,0
73629,309,4288080,4,168,1072020.0,29,935,0,418.1447118,1.166023022,32,211,237,3,309,935,0
0,0,60,8,60,30.0,27,0,0,0.0,50000.0,20,16698,260,1,0,0,0
38695,935,38713,4,104,17508.0,355,308,0,177.8238829,77.49334849,32,219,26883,4,935,308,1
0,0,4933,31,80,1644.3333333333,31,77,0,36.3959704729,810.865599027,20,0,980,1,0,108,0
0,0,13,13,64,13.0,13,0,0,0.0,153846.1538,32,-1,225,0,0,0,1
2393458,1173,2666885,3,172,380983.571428571,3,677,0,228.129662379,2.9997543951,20,62852,8192,7,1581,1148,0
45292,310,4225757,8,168,1056439.25,4999,935,0,418.1447118,1.183219953,32,211,237,3,310,935,0
330043,364,4539354,7,168,1134838.5,35,935,0,418.1447118,1.101478316,32,211,237,4,728,935,0
0,0,222,222,40,222.0,222,0,0,0.0,9009.009009009,20,-1,1847,0,0,0,0
0,89,817,817,8,0.0,0,33,33,0.0,1223.9902080783,8,-1,-1,1,89,33,0
0,0,56,56,20,0.0,0,0,0,0.0,17857.1428571429,20,254,189,1,0,0,0
53754,351,4387812,5,168,1096953.0,22,935,0,418.1447118,1.139520107,32,211,237,3,351,935,0
5830275,232,5830426,41,92,20664.6666666667,140,97,0,48.5,0.6860562161,20,141,8192,4,232,97,0
0,0,1526628,760970,24,763314.0,760970,50,50,0.0,1.9651152737,8,-1,-1,0,0,150,0
0,0,77668,77668,40,77668.0,77668,0,0,0.0,25.7506308905,20,-1,278,0,0,0,0
7352453,1173,7541666,76,272,628472.166666667,1176,677,0,188.7817896476,1.7237570585,20,62852,8192,7,1581,1148,0
0,0,79204,37689,96,39602.0,37689,0,0,0.0,37.87687491,32,-1,225,0,0,0,1
0,0,36,36,20,0.0,0,0,0,0.0,27777.7777777778,20,63388,34272,1,0,0,0
4551044,935,4551051,6,136,1511600.0,8741,357,0,178.5,0.878917859,32,219,225,5,935,357,1
0,99,2160,2160,8,0.0,0,41,41,0.0,462.962962963,8,-1,-1,1,99,41,0
91323,972,133572,3,168,33393.0,264,443,0,198.1156228065,37.4329949391,32,219,26883,3,972,443,1
92916,388,4255035,6,168,1063758.75,19,935,0,418.1447118,1.175078466,32,211,219,3,388,935,0
2545222,1173,2748299,3,192,343537.375,3,677,0,214.1209419412,3.2747528562,20,62856,8192,9,1874,1229,0
111564210,1460,115186589,0,872,2742537.83333333,15,392,0,68.7565883282,0.3733073474,20,980,8192,107,133697,764,0
113212409,1460,116896404,0,492,5082452.34782609,16,979,0,268.4805339339,0.205309994,20,1066,8192,66,74064,2260,0
104951,413,4156176,6,168,1039044.0,43,935,0,418.1447118,1.203028938,32,211,237,3,413,935,0
19371,370,5404964,6,168,1351241.0,39,935,0,418.1447118,0.925075542,32,211,219,3,370,935,0
